PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthRet,MthVol,ShrOut,DisFacPr,vwretd
84398,78462F10,SPY,46699,2009-01-30,82.830000,-0.082114,6877054800,1050818,,-0.077471
84398,78462F10,SPY,46699,2009-02-27,73.930000,-0.107449,7275971500,840358,,-0.100166
84398,78462F10,SPY,46699,2009-03-31,79.520000,0.083484,8816278600,758260,0.000000,0.086803
84398,78462F10,SPY,46699,2009-04-30,87.420000,0.099346,6209519000,692710,,0.109466
84398,78462F10,SPY,46699,2009-05-29,92.530000,0.058453,5197050600,704790,,0.067787
84398,78462F10,SPY,46699,2009-06-30,91.950000,-0.000673,5054958600,696740,0.000000,-0.003019
84398,78462F10,SPY,46699,2009-07-31,98.810000,0.074606,4295911900,678640,,0.081779
84398,78462F10,SPY,46699,2009-08-31,102.460000,0.036940,3957917500,715660,,0.031510
84398,78462F10,SPY,46699,2009-09-30,105.590000,0.035457,3777978900,663310,0.000000,0.045281
84398,78462F10,SPY,46699,2009-10-30,103.560000,-0.019225,4482108000,647910,,-0.028072
84398,78462F10,SPY,46699,2009-11-30,109.940000,0.061607,3431132000,657830,,0.057075
84398,78462F10,SPY,46699,2009-12-31,111.440000,0.019072,2883949600,761530,0.000000,0.028475
84398,78462F10,SPY,46699,2010-01-29,107.390000,-0.036342,3706906400,612980,,-0.037172
84398,78462F10,SPY,46699,2010-02-26,110.740000,0.031195,4451911000,667530,,0.034744
84398,78462F10,SPY,46699,2010-03-31,117.000000,0.060905,3899883200,684830,0.000000,0.063668
84398,78462F10,SPY,46699,2010-04-30,118.812500,0.015491,4011095600,606730,,0.020036
84398,78462F10,SPY,46699,2010-05-28,109.369000,-0.079482,7414147600,613730,,-0.079240
84398,78462F10,SPY,46699,2010-06-30,103.220000,-0.051735,5706511400,703580,0.000000,-0.050780
84398,78462F10,SPY,46699,2010-07-30,110.270000,0.068301,4723083400,662230,,0.070360
84398,78462F10,SPY,46699,2010-08-31,105.310000,-0.044981,4542293900,619680,,-0.042863
84398,78462F10,SPY,46699,2010-09-30,114.130000,0.089554,4047505100,697030,0.000000,0.091628
84398,78462F10,SPY,46699,2010-10-29,118.490000,0.038202,3767748000,690430,,0.038591
84398,78462F10,SPY,46699,2010-11-30,118.492500,0.000021,3984612300,678980,,0.005117
84398,78462F10,SPY,46699,2010-12-31,125.750000,0.066822,2722825500,723380,0.000000,0.067182
84398,78462F10,SPY,46699,2011-01-31,128.680000,0.023300,2860494100,743530,,0.019183
84398,78462F10,SPY,46699,2011-02-28,133.150000,0.034737,2820163000,683330,,0.038156
